Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,78.5,77.4,77.6,78.2,57.447,1435130.0
2018-01-03,83.2,78.6,79.5,80.5,59.137,5014340.0
2018-01-04,83.1,80.5,81.5,81.0,59.504,2937490.0
2018-01-05,81.0,79.0,81.0,80.0,58.77,2825160.0
2018-01-08,81.9,79.1,80.0,80.3,58.99,3978990.0
2018-01-09,82.5,80.0,80.9,80.6,59.211,3276860.0
2018-01-10,82.3,80.6,81.0,80.8,59.357,3525280.0
2018-01-11,82.2,80.1,80.8,81.0,59.504,3234530.0
2018-01-12,86.3,81.3,81.5,85.4,62.736,5641810.0
2018-01-15,88.8,86.1,86.4,87.2,64.059,3992270.0
2018-01-16,87.5,85.0,87.2,86.0,63.177,4033950.0
2018-01-17,86.8,83.0,86.0,84.0,61.707,3664360.0
2018-01-18,84.4,80.5,83.0,84.4,62.002,2516550.0
2018-01-19,86.2,84.0,85.0,84.0,61.707,4547470.0
2018-01-22,85.6,84.0,84.5,85.0,62.443,1971820.0
2018-01-25,89.5,85.0,85.0,85.1,62.516,6498690.0
2018-01-26,86.5,84.9,86.0,85.5,62.81,1879950.0
2018-01-29,87.3,85.2,86.0,85.5,62.81,1648430.0
2018-01-30,85.8,83.5,85.5,85.0,62.443,2528460.0
2018-01-31,88.4,85.1,85.5,86.0,63.177,5163910.0
2018-02-01,87.8,85.0,87.5,86.6,63.618,2444650.0
2018-02-02,88.5,86.5,86.5,87.2,64.059,4141270.0
2018-02-05,86.0,81.1,85.4,81.1,59.578,2587460.0
2018-02-06,81.1,75.5,75.5,81.1,59.578,6416850.0
2018-02-07,82.9,81.0,82.0,81.0,59.504,1569240.0
2018-02-08,81.0,79.0,80.0,79.0,58.035,1035980.0
2018-02-09,78.6,74.5,76.0,78.2,57.447,1512070.0
2018-02-12,83.6,79.0,79.0,83.6,61.414,1403590.0
2018-02-13,87.0,84.0,85.0,86.1,63.251,1361140.0
2018-02-21,92.0,87.3,87.9,90.0,66.115,3032580.0
2018-02-22,92.0,89.1,90.0,90.5,66.483,2059700.0
2018-02-23,92.0,91.0,91.0,91.6,67.291,1315690.0
2018-02-26,96.5,92.0,92.0,95.0,69.788,2663650.0
2018-02-27,96.9,92.5,96.5,93.5,68.687,2312070.0
2018-02-28,95.1,92.3,92.3,94.9,69.715,1652330.0
2018-03-01,95.8,93.3,94.4,94.0,69.054,1228940.0
2018-03-02,95.5,92.0,92.0,94.5,69.421,876310.0
2018-03-05,99.6,94.0,95.0,94.0,69.054,1957990.0
2018-03-06,98.5,94.0,96.0,98.5,72.36,1563590.0
2018-03-07,100.0,96.5,98.5,98.6,72.434,1554880.0
2018-03-08,104.4,97.9,98.0,103.2,75.812,2497640.0
2018-03-09,106.0,100.0,103.2,103.5,76.033,3193390.0
2018-03-12,104.1,99.7,103.0,100.0,73.462,4156360.0
2018-03-13,102.9,99.9,100.0,102.6,75.371,1364520.0
2018-03-14,104.9,102.5,102.5,102.5,75.299,2048400.0
2018-03-15,102.9,99.5,102.9,99.5,73.094,2784640.0
2018-03-16,101.0,99.4,99.4,99.7,73.242,3090070.0
2018-03-19,105.0,100.2,100.2,104.4,76.694,1201010.0
2018-03-20,105.5,103.0,103.0,104.2,76.547,1045660.0
2018-03-21,108.6,104.5,104.9,108.0,79.339,3520200.0
2018-03-22,110.7,108.0,109.0,108.0,79.339,2262170.0
2018-03-23,111.2,105.5,105.6,109.5,80.441,3455080.0
2018-03-26,117.1,108.5,110.0,113.8,83.6,4681960.0
2018-03-27,117.8,112.9,117.0,113.0,83.011,3149210.0
2018-03-28,116.0,112.2,113.0,114.5,84.114,1452270.0
2018-03-29,115.5,113.5,114.5,115.0,84.481,1580300.0
2018-03-30,117.2,114.0,115.1,117.2,86.097,1733950.0
2018-04-02,124.5,118.0,118.7,123.0,90.358,2458390.0
2018-04-03,123.0,120.8,122.2,122.3,89.843,2412640.0
2018-04-04,128.9,123.0,123.0,127.5,93.664,1939060.0
2018-04-05,133.0,129.7,132.0,131.0,96.235,3190050.0
2018-04-06,132.5,129.7,130.0,132.4,97.263,1954390.0
2018-04-09,135.5,133.0,135.0,134.9,99.1,3209490.0
2018-04-10,136.8,131.0,135.0,131.0,96.235,4492970.0
2018-04-11,133.5,124.0,131.6,126.0,92.562,3216110.0
2018-04-12,127.8,121.4,124.0,127.0,93.297,3592730.0
2018-04-13,130.6,127.0,128.0,127.6,93.738,2093210.0
2018-04-16,129.2,124.5,128.0,128.7,94.546,1686590.0
2018-04-17,132.0,127.5,130.0,130.0,95.5,2303090.0
2018-04-18,132.0,129.9,131.0,129.9,95.427,2306360.0
2018-04-19,129.0,120.9,128.6,120.9,88.815,5509300.0
2018-04-20,124.5,113.9,120.9,123.0,90.358,4165000.0
2018-04-23,125.8,122.8,124.0,123.2,90.505,4834080.0
2018-04-24,127.6,118.2,120.0,127.0,93.297,8719000.0
2018-04-26,127.0,122.9,126.8,127.0,93.297,6434440.0
2018-04-27,126.5,122.0,122.7,126.0,92.562,3015830.0
2018-05-02,126.0,120.0,126.0,125.0,91.827,5204200.0
2018-05-03,126.1,122.0,123.0,123.0,90.358,4728270.0
2018-05-04,125.1,120.0,121.6,124.5,91.46,3214170.0
2018-05-07,125.0,123.5,123.5,124.6,91.533,1059820.0
2018-05-08,124.9,123.2,124.6,123.9,91.019,1263540.0
2018-05-09,123.2,121.8,122.6,122.9,90.284,1685960.0
2018-05-10,122.8,120.0,122.8,120.5,88.522,1783310.0
2018-05-11,124.0,119.0,120.1,124.0,91.092,1349320.0
2018-05-14,132.0,125.0,125.0,132.0,96.97,2365670.0
2018-05-15,134.8,132.0,133.9,132.0,96.97,1713520.0
2018-05-16,132.0,128.0,132.0,130.0,95.5,879210.0
2018-05-17,130.0,122.5,130.0,123.0,90.358,1772650.0
2018-05-18,125.0,120.5,122.0,123.0,90.358,1523270.0
2018-05-21,123.0,114.4,123.0,114.4,84.04,2255860.0
2018-05-22,114.0,106.4,110.8,106.4,78.163,2590430.0
2018-05-23,106.3,99.0,101.1,103.0,75.666,2360420.0
2018-05-24,105.0,101.2,103.0,104.1,76.474,3032350.0
2018-05-25,110.6,100.0,104.1,107.0,78.604,2656380.0
2018-05-28,111.0,102.5,102.8,111.0,81.543,3154610.0
2018-05-29,111.5,106.1,106.3,110.0,80.808,1698700.0
2018-05-30,113.5,105.9,110.1,111.0,81.543,1827510.0
2018-05-31,117.0,109.0,111.8,116.0,85.216,5567040.0
2018-06-01,120.0,114.0,115.4,119.0,87.419,4227700.0
2018-06-04,120.1,118.5,119.0,120.0,88.155,901540.0
2018-06-05,122.5,118.6,120.0,121.1,88.963,996780.0
2018-06-06,124.4,117.7,120.0,124.1,91.166,2053160.0
2018-06-07,125.4,123.2,124.9,124.2,91.24,1475370.0
2018-06-08,124.8,122.0,123.2,124.2,91.24,902860.0
2018-06-11,125.1,122.5,124.0,124.3,91.313,1434380.0
2018-06-12,124.6,120.0,120.0,124.4,91.387,2086270.0
