Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,8.4,7.43,8.4,7.78,4.095,34840.0
2018-01-03,7.73,7.24,7.25,7.25,3.816,39150.0
2018-01-04,7.2,6.75,6.79,6.75,3.553,53910.0
2018-01-05,7.22,6.75,6.75,7.0,3.684,6760.0
2018-01-08,7.48,6.9,7.4,6.9,3.632,6000.0
2018-01-09,7.0,6.5,6.5,6.5,3.421,41420.0
2018-01-10,6.8,6.31,6.31,6.65,3.5,3220.0
2018-01-11,6.85,6.65,6.85,6.79,3.574,26440.0
2018-01-12,6.8,6.7,6.7,6.79,3.574,12010.0
2018-01-15,6.89,6.5,6.89,6.5,3.421,12880.0
2018-01-16,6.7,6.5,6.5,6.7,3.526,15040.0
2018-01-17,6.85,6.7,6.7,6.85,3.605,34160.0
2018-01-18,6.99,6.41,6.85,6.97,3.669,1660.0
2018-01-19,6.97,6.53,6.97,6.85,3.605,4090.0
2018-01-22,6.97,6.4,6.42,6.7,3.526,12030.0
2018-01-25,6.9,6.3,6.9,6.6,3.474,8580.0
2018-01-26,6.9,6.6,6.9,6.84,3.6,1590.0
2018-01-29,6.99,6.6,6.99,6.98,3.674,59490.0
2018-01-30,7.46,6.99,6.99,7.46,3.926,78500.0
2018-01-31,7.9,7.0,7.0,7.78,4.095,42960.0
2018-02-01,7.8,7.41,7.7,7.41,3.9,9910.0
2018-02-02,7.7,7.37,7.41,7.7,4.053,29800.0
2018-02-05,7.7,7.19,7.51,7.19,3.784,30580.0
2018-02-06,7.64,6.69,7.64,7.2,3.79,16000.0
2018-02-07,7.69,7.3,7.69,7.64,4.021,4580.0
2018-02-08,7.8,7.64,7.64,7.64,4.021,7020.0
2018-02-09,7.5,7.18,7.18,7.44,3.916,9620.0
2018-02-12,7.67,7.0,7.67,7.35,3.869,13990.0
2018-02-13,7.47,6.85,6.9,7.45,3.921,8520.0
2018-02-21,7.67,7.08,7.08,7.67,4.037,10590.0
2018-02-22,7.55,7.5,7.5,7.55,3.974,6370.0
2018-02-23,7.6,7.5,7.55,7.5,3.948,19020.0
2018-02-26,8.02,7.6,7.6,8.02,4.221,94500.0
2018-02-27,8.58,8.58,8.58,8.58,4.516,89680.0
2018-02-28,9.18,9.18,9.18,9.18,4.832,58120.0
2018-03-01,9.82,9.82,9.82,9.82,5.169,73600.0
2018-03-02,10.5,10.0,10.5,10.5,5.527,290490.0
2018-03-05,11.2,11.2,11.2,11.2,5.895,70200.0
2018-03-06,11.95,10.5,11.95,11.0,5.79,266460.0
2018-03-07,11.3,10.25,10.4,10.25,5.395,222770.0
2018-03-08,10.4,9.85,10.0,9.85,5.184,48640.0
2018-03-09,10.5,9.55,9.55,10.5,5.527,137970.0
2018-03-12,11.2,10.9,11.15,11.2,5.895,89670.0
2018-03-13,11.95,11.2,11.2,11.95,6.29,191210.0
2018-03-14,12.75,12.6,12.7,12.75,6.711,64490.0
2018-03-15,13.6,13.5,13.55,13.6,7.158,70500.0
2018-03-16,14.55,12.65,14.5,12.65,6.658,399460.0
2018-03-19,13.5,12.0,12.65,13.5,7.106,145590.0
2018-03-20,14.4,13.6,14.35,14.4,7.579,192320.0
2018-03-21,15.0,13.4,14.4,13.7,7.211,57730.0
2018-03-22,14.4,13.0,14.3,13.6,7.158,93380.0
2018-03-23,13.9,12.65,13.9,12.65,6.658,65870.0
2018-03-26,12.85,11.8,11.95,11.8,6.211,114740.0
2018-03-27,11.6,11.0,11.1,11.0,5.79,76600.0
2018-03-28,10.4,10.25,10.3,10.25,5.395,142020.0
2018-03-29,10.95,10.25,10.25,10.95,5.763,22070.0
2018-03-30,11.7,11.7,11.7,11.7,6.158,17010.0
2018-04-02,12.3,10.9,12.3,11.2,5.895,106990.0
2018-04-03,11.5,10.8,11.5,11.15,5.869,19530.0
2018-04-04,11.9,10.6,10.6,11.2,5.895,52300.0
2018-04-05,11.5,10.6,11.5,11.0,5.79,32450.0
2018-04-06,11.0,10.25,11.0,10.5,5.527,115030.0
2018-04-09,10.85,10.1,10.25,10.3,5.421,20880.0
2018-04-10,10.4,9.71,9.71,10.0,5.263,49750.0
2018-04-11,10.0,9.4,9.63,9.4,4.948,22330.0
2018-04-12,9.95,9.0,9.6,9.05,4.763,12760.0
2018-04-13,9.67,8.6,9.67,9.27,4.879,28790.0
2018-04-16,9.65,8.63,9.27,8.66,4.558,36250.0
2018-04-17,9.04,8.66,8.66,9.03,4.753,10510.0
2018-04-18,9.45,8.4,9.45,8.4,4.421,66560.0
2018-04-19,8.3,7.82,8.01,7.99,4.205,79570.0
2018-04-20,8.3,7.63,8.3,7.99,4.205,3680.0
2018-04-23,8.34,7.44,7.56,7.8,4.105,40290.0
2018-04-24,7.97,7.28,7.97,7.28,3.832,26030.0
2018-04-26,7.78,6.9,7.5,7.69,4.048,30110.0
2018-04-27,8.1,7.2,8.1,7.89,4.153,29560.0
2018-05-02,7.98,7.7,7.98,7.7,4.053,42520.0
2018-05-03,7.8,7.3,7.8,7.68,4.042,6640.0
2018-05-04,7.78,7.4,7.66,7.78,4.095,8920.0
2018-05-07,8.19,7.4,8.19,7.77,4.09,6930.0
2018-05-08,7.74,7.23,7.41,7.24,3.811,91140.0
2018-05-09,7.6,7.45,7.5,7.59,3.995,8650.0
2018-05-10,7.69,7.4,7.69,7.64,4.021,650.0
2018-05-11,7.4,7.11,7.4,7.4,3.895,17760.0
2018-05-14,7.55,7.3,7.55,7.49,3.942,1450.0
2018-05-15,7.5,7.0,7.0,7.45,3.921,3480.0
2018-05-16,7.35,6.93,7.11,7.17,3.774,43150.0
2018-05-17,7.05,6.8,7.0,6.8,3.579,25250.0
2018-05-18,7.09,6.5,7.09,6.8,3.579,26840.0
2018-05-21,6.99,6.36,6.99,6.94,3.653,11000.0
2018-05-22,6.9,6.46,6.9,6.46,3.4,72870.0
2018-05-23,6.46,6.05,6.07,6.16,3.242,19730.0
2018-05-24,6.5,6.01,6.5,6.4,3.369,3270.0
2018-05-25,6.8,6.14,6.4,6.79,3.574,4910.0
2018-05-28,6.78,6.32,6.35,6.32,3.326,25910.0
2018-05-29,6.69,5.95,5.95,6.3,3.316,33080.0
2018-05-30,6.2,5.86,6.1,6.1,3.211,30690.0
2018-05-31,6.48,6.0,6.0,6.1,3.211,5890.0
2018-06-01,6.46,6.1,6.1,6.4,3.369,21820.0
2018-06-04,6.46,6.0,6.0,6.4,3.369,7870.0
2018-06-05,6.5,6.21,6.5,6.4,3.369,5800.0
2018-06-06,6.4,6.26,6.4,6.39,3.363,11160.0
2018-06-07,6.83,6.3,6.3,6.73,3.542,53440.0
2018-06-08,6.86,6.6,6.73,6.8,3.579,26080.0
2018-06-11,7.0,6.7,6.8,6.8,3.579,9230.0
2018-06-12,6.8,6.33,6.8,6.33,3.332,57610.0
2018-06-13,6.65,6.0,6.65,6.47,3.405,9460.0
2018-06-14,6.87,6.2,6.87,6.61,3.479,2900.0
2018-06-15,6.65,6.17,6.65,6.59,3.469,39430.0
2018-06-18,6.59,6.15,6.59,6.2,3.263,37920.0
2018-06-19,6.25,5.9,6.25,6.2,3.263,28240.0
2018-06-20,6.39,6.2,6.39,6.3,3.316,4060.0
2018-06-21,6.3,6.0,6.3,6.0,3.158,5510.0
2018-06-22,6.3,6.0,6.2,6.1,3.211,37580.0
2018-06-25,6.45,6.0,6.23,6.28,3.305,48320.0
2018-06-26,6.28,6.15,6.28,6.28,3.305,10390.0
2018-06-27,6.3,6.03,6.2,6.29,3.311,14290.0
2018-06-28,6.36,6.28,6.29,6.36,3.348,10980.0
2018-06-29,6.36,6.0,6.01,6.36,3.348,11570.0
2018-07-02,6.49,6.15,6.39,6.49,3.416,13690.0
2018-07-03,6.49,6.3,6.49,6.44,3.39,7610.0
2018-07-04,6.44,6.3,6.3,6.44,3.39,10610.0
2018-07-05,6.6,6.2,6.6,6.44,3.39,11920.0
2018-07-06,6.6,6.2,6.2,6.44,3.39,1580.0
2018-07-09,6.5,6.06,6.5,6.43,3.384,12210.0
2018-07-10,6.4,6.4,6.4,6.4,3.369,30.0
2018-07-11,6.43,6.2,6.21,6.39,3.363,5360.0
2018-07-12,6.28,6.11,6.11,6.12,3.221,850.0
2018-07-13,6.27,6.15,6.15,6.25,3.29,17860.0
2018-07-16,6.4,6.2,6.3,6.3,3.316,17060.0
2018-07-17,6.4,6.21,6.4,6.38,3.358,1060.0
2018-07-18,6.5,6.3,6.37,6.5,3.421,11630.0
2018-07-19,6.8,6.36,6.47,6.79,3.574,5030.0
2018-07-20,6.88,6.4,6.4,6.88,3.621,20610.0
2018-07-23,7.35,6.8,6.8,7.19,3.784,11020.0
2018-07-24,7.25,6.71,7.25,7.2,3.79,5640.0
2018-07-25,7.22,6.7,7.01,7.11,3.742,31530.0
2018-07-26,7.11,6.72,6.81,7.11,3.742,9020.0
2018-07-27,7.05,6.72,6.73,6.9,3.632,860.0
2018-07-30,6.9,6.55,6.9,6.56,3.453,5110.0
2018-07-31,6.89,6.3,6.88,6.56,3.453,6620.0
2018-08-01,6.75,6.3,6.32,6.65,3.5,7850.0
2018-08-02,6.64,6.6,6.6,6.64,3.495,140.0
2018-08-03,6.63,6.5,6.5,6.5,3.421,1410.0
2018-08-06,6.59,6.38,6.59,6.38,3.358,1660.0
2018-08-07,6.6,6.35,6.6,6.55,3.448,410.0
2018-08-08,6.5,6.3,6.3,6.5,3.421,3150.0
2018-08-09,6.49,6.32,6.32,6.32,3.326,9610.0
2018-08-10,6.45,6.3,6.3,6.45,3.395,3130.0
2018-08-13,6.55,6.11,6.4,6.48,3.411,6390.0
2018-08-14,6.59,6.4,6.5,6.56,3.453,9920.0
2018-08-15,6.56,6.4,6.56,6.4,3.369,1040.0
2018-08-16,6.55,6.55,6.55,6.55,3.448,10.0
2018-08-17,6.58,6.2,6.55,6.55,3.448,7590.0
2018-08-20,6.55,6.35,6.35,6.35,3.342,640.0
2018-08-21,6.49,6.21,6.22,6.24,3.284,390.0
2018-08-22,6.45,6.2,6.35,6.2,3.263,11810.0
2018-08-23,6.49,6.2,6.49,6.39,3.363,1060.0
2018-08-24,6.39,6.35,6.36,6.35,3.342,840.0
2018-08-27,6.49,6.19,6.49,6.2,3.263,2730.0
2018-08-28,6.2,6.2,6.2,6.2,3.263,2750.0
2018-08-29,6.3,6.3,6.3,6.3,3.316,2900.0
2018-08-30,6.4,6.3,6.4,6.3,3.316,4930.0
2018-08-31,6.4,6.3,6.3,6.3,3.316,2260.0
2018-09-04,6.45,6.3,6.3,6.3,3.316,26440.0
2018-09-05,6.48,6.3,6.31,6.45,3.395,7610.0
2018-09-06,6.46,6.3,6.3,6.46,3.4,2400.0
2018-09-07,6.39,6.3,6.31,6.3,3.316,2360.0
2018-09-10,6.72,6.31,6.72,6.63,3.49,3030.0
2018-09-11,6.58,6.4,6.5,6.58,3.463,7150.0
2018-09-12,6.74,6.4,6.74,6.6,3.474,5850.0
2018-09-13,6.55,6.2,6.55,6.55,3.448,3270.0
2018-09-14,6.74,6.45,6.74,6.5,3.421,1290.0
