Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.2,14.2,14.2,14.2,9.06,0.0
2018-01-03,14.0,14.0,14.0,14.0,8.932,2400.0
2018-01-04,14.5,14.5,14.5,14.5,9.251,100.0
2018-01-05,14.5,14.5,14.5,14.5,9.251,100.0
2018-01-08,15.0,14.3,14.3,15.0,9.57,5600.0
2018-01-09,15.5,14.3,15.0,15.5,9.889,4000.0
2018-01-10,15.0,14.2,15.0,14.2,9.06,6300.0
2018-01-11,15.0,14.9,14.9,15.0,9.57,300.0
2018-01-12,17.2,15.0,17.2,15.3,9.762,1500.0
2018-01-15,15.2,15.2,15.2,15.2,9.698,0.0
2018-01-16,15.0,15.0,15.0,15.0,9.57,300.0
2018-01-17,14.9,14.1,14.1,14.9,9.507,9400.0
2018-01-18,16.8,14.1,14.8,16.7,10.655,21700.0
2018-01-19,16.6,16.6,16.6,16.6,10.591,0.0
2018-01-22,16.6,16.6,16.6,16.6,10.591,0.0
2018-01-23,16.6,16.6,16.6,16.6,10.591,0.0
2018-01-24,16.0,15.5,16.0,16.0,10.208,4600.0
2018-01-25,16.9,16.0,16.0,16.4,10.464,42100.0
2018-01-26,18.5,17.0,17.0,18.5,11.804,15200.0
2018-01-29,19.9,18.1,18.1,18.1,11.548,2900.0
2018-01-30,18.5,18.4,18.5,18.4,11.74,400.0
2018-01-31,18.2,18.0,18.2,18.0,11.484,1200.0
2018-02-01,18.0,18.0,18.0,18.0,11.484,4800.0
2018-02-02,18.5,18.0,18.0,18.5,11.804,15800.0
2018-02-05,18.2,17.3,18.2,17.3,11.038,10500.0
2018-02-06,18.2,17.0,17.0,18.2,11.612,9300.0
2018-02-07,18.0,17.9,17.9,18.0,11.484,2600.0
2018-02-08,19.5,18.0,18.0,18.8,11.995,58800.0
2018-02-09,19.0,18.8,18.8,19.0,12.123,400.0
2018-02-12,19.1,19.0,19.0,19.1,12.186,2700.0
2018-02-13,18.8,18.0,18.8,18.1,11.548,8500.0
2018-02-21,18.2,18.1,18.2,18.1,11.548,1500.0
2018-02-22,18.5,18.2,18.2,18.5,11.804,4000.0
2018-02-23,18.2,18.2,18.2,18.2,11.612,1000.0
2018-02-26,18.2,17.7,18.2,17.7,11.293,2900.0
2018-02-27,18.0,17.7,17.8,18.0,11.484,13100.0
2018-02-28,17.8,17.4,17.8,17.4,11.102,11600.0
2018-03-01,17.6,17.6,17.6,17.6,11.229,400.0
2018-03-02,17.6,17.6,17.6,17.6,11.229,0.0
2018-03-05,18.4,18.4,18.4,18.4,11.74,200.0
2018-03-06,18.4,18.3,18.4,18.3,11.676,3500.0
2018-03-07,18.3,18.3,18.3,18.3,11.676,0.0
2018-03-08,18.3,18.3,18.3,18.3,11.676,0.0
2018-03-09,18.3,18.3,18.3,18.3,11.676,0.0
2018-03-12,18.3,18.3,18.3,18.3,11.676,0.0
2018-03-13,17.4,17.0,17.4,17.0,10.846,2000.0
2018-03-14,19.0,17.0,19.0,17.0,10.846,800.0
2018-03-15,18.0,17.8,17.8,18.0,11.484,500.0
2018-03-16,17.0,17.0,17.0,17.0,10.846,1400.0
2018-03-19,17.4,17.3,17.3,17.3,11.038,1400.0
2018-03-20,17.3,17.3,17.3,17.3,11.038,0.0
2018-03-21,17.3,17.3,17.3,17.3,11.038,0.0
