Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,3.5,3.3,3.5,3.3,3.3,61700.0
2018-01-03,3.3,3.3,3.3,3.3,3.3,20400.0
2018-01-04,3.3,3.0,3.3,3.2,3.2,87100.0
2018-01-05,3.2,3.1,3.2,3.2,3.2,47900.0
2018-01-08,3.2,3.1,3.1,3.1,3.1,87500.0
2018-01-09,3.1,2.9,3.0,3.1,3.1,98100.0
2018-01-10,3.1,2.9,3.0,3.0,3.0,113700.0
2018-01-11,3.0,2.8,3.0,2.8,2.8,209000.0
2018-01-12,3.0,2.7,2.7,3.0,3.0,138700.0
2018-01-15,3.2,3.0,3.0,3.2,3.2,25323.0
2018-01-16,3.2,2.9,3.2,3.0,3.0,104280.0
2018-01-17,3.1,2.9,3.0,3.1,3.1,56800.0
2018-01-18,3.1,3.0,3.1,3.0,3.0,135810.0
2018-01-19,3.1,3.0,3.0,3.1,3.1,51900.0
2018-01-22,3.0,2.9,3.0,3.0,3.0,122210.0
2018-01-23,3.0,3.0,3.0,3.0,3.0,62400.0
2018-01-24,3.1,2.9,3.1,2.9,2.9,84900.0
2018-01-25,3.0,2.9,3.0,3.0,3.0,20457.0
2018-01-26,3.0,2.9,2.9,3.0,3.0,41400.0
2018-01-29,3.0,2.9,2.9,2.9,2.9,35200.0
2018-01-30,2.9,2.8,2.8,2.9,2.9,30900.0
2018-01-31,3.1,2.7,2.9,2.9,2.9,228700.0
2018-02-01,2.9,2.7,2.9,2.9,2.9,132100.0
2018-02-02,3.0,2.7,2.8,2.9,2.9,246390.0
2018-02-05,2.8,2.7,2.8,2.7,2.7,93000.0
2018-02-06,2.8,2.5,2.5,2.8,2.8,209257.0
2018-02-07,2.9,2.8,2.8,2.9,2.9,353500.0
2018-02-08,3.0,2.7,2.9,2.7,2.7,108200.0
2018-02-09,2.9,2.6,2.7,2.7,2.7,286100.0
2018-02-12,2.8,2.6,2.7,2.6,2.6,132900.0
2018-02-13,2.7,2.6,2.6,2.7,2.7,76650.0
2018-02-21,2.9,2.7,2.7,2.9,2.9,159100.0
2018-02-22,2.9,2.8,2.9,2.8,2.8,17500.0
2018-02-23,2.9,2.8,2.9,2.9,2.9,17000.0
2018-02-26,3.1,2.8,2.8,3.1,3.1,891700.0
2018-02-27,3.3,2.9,3.1,3.1,3.1,191111.0
2018-02-28,3.0,2.9,3.0,2.9,2.9,304400.0
2018-03-01,3.1,2.8,2.8,2.9,2.9,177600.0
2018-03-02,3.1,2.9,2.9,2.9,2.9,338451.0
2018-03-05,3.0,2.9,3.0,2.9,2.9,33898.0
2018-03-06,3.1,2.8,2.8,3.1,3.1,320200.0
