Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.0,10.4,10.5,11.0,2.262,521304.0
2018-01-03,11.2,10.6,11.0,10.6,2.18,179046.0
2018-01-04,10.8,10.5,10.8,10.5,2.16,99955.0
2018-01-05,11.2,10.3,10.6,10.5,2.16,719293.0
2018-01-08,10.7,10.5,10.7,10.6,2.18,151000.0
2018-01-09,10.9,10.4,10.5,10.4,2.139,362286.0
2018-01-10,10.6,10.1,10.4,10.4,2.139,603874.0
2018-01-11,10.3,10.0,10.2,10.0,2.057,333410.0
2018-01-12,10.3,9.9,10.0,9.9,2.036,253147.0
2018-01-15,10.0,9.7,10.0,9.8,2.016,289700.0
2018-01-16,10.0,9.6,9.9,10.0,2.057,298650.0
2018-01-17,10.0,9.7,9.9,9.7,1.995,176887.0
2018-01-18,9.8,9.4,9.6,9.7,1.995,325768.0
2018-01-19,10.0,9.5,9.7,9.9,2.036,256160.0
2018-01-22,10.0,9.6,9.9,9.8,2.016,257523.0
2018-01-23,9.9,9.7,9.9,9.9,2.036,184915.0
2018-01-24,9.9,9.5,9.9,9.5,1.954,141100.0
2018-01-25,9.6,9.1,9.5,9.3,1.913,318575.0
2018-01-26,9.5,8.4,9.3,9.3,1.913,277990.0
2018-01-29,9.7,9.2,9.3,9.7,1.995,190813.0
2018-01-30,9.7,9.3,9.7,9.3,1.913,94949.0
2018-01-31,9.4,9.1,9.4,9.3,1.913,82483.0
2018-02-01,9.8,8.9,9.2,9.4,1.933,509330.0
2018-02-02,10.1,9.3,9.4,10.1,2.077,318983.0
2018-02-05,9.9,9.1,9.8,9.3,1.913,121222.0
2018-02-06,8.7,8.4,8.7,8.4,1.728,318620.0
2018-02-07,9.2,8.6,8.8,8.6,1.769,403214.0
2018-02-08,9.1,8.5,8.6,9.1,1.872,151450.0
2018-02-09,10.0,8.3,8.6,10.0,2.057,688600.0
2018-02-12,10.2,9.3,9.6,10.0,2.057,466700.0
2018-02-13,9.9,9.0,9.9,9.0,1.851,396707.0
2018-02-21,9.3,8.7,9.3,9.1,1.872,169100.0
2018-02-22,9.2,9.0,9.2,9.1,1.872,123123.0
2018-02-23,9.2,8.9,9.1,9.1,1.872,150000.0
2018-02-26,9.1,8.9,9.1,9.0,1.851,42845.0
2018-02-27,9.0,8.8,9.0,9.0,1.851,37140.0
2018-02-28,9.0,8.8,8.9,9.0,1.851,18800.0
2018-03-01,9.9,8.7,8.8,9.8,2.016,923729.0
2018-03-02,10.7,9.7,9.8,10.7,2.201,1167682.0
2018-03-05,11.4,10.5,10.7,10.7,2.201,1270492.0
2018-03-06,11.2,10.2,10.7,11.2,2.303,297606.0
2018-03-07,11.2,10.1,11.0,10.1,2.077,915333.0
2018-03-08,11.0,9.8,10.0,11.0,2.262,618195.0
2018-03-09,11.2,10.3,11.0,10.8,2.221,619165.0
2018-03-12,10.7,10.1,10.2,10.5,2.16,407498.0
2018-03-13,10.5,10.2,10.5,10.2,2.098,255868.0
2018-03-14,10.5,10.2,10.4,10.5,2.16,399820.0
2018-03-15,10.6,10.0,10.5,10.0,2.057,748938.0
2018-03-16,10.3,10.0,10.0,10.3,2.118,726382.0
2018-03-19,10.4,10.0,10.3,10.2,2.098,648900.0
2018-03-20,10.1,9.7,10.0,9.7,1.995,561999.0
2018-03-21,10.0,9.6,10.0,9.7,1.995,297426.0
2018-03-22,10.0,9.6,10.0,9.7,1.995,256512.0
2018-03-23,9.7,9.3,9.7,9.6,1.974,413125.0
2018-03-26,9.6,9.2,9.6,9.3,1.913,90284.0
2018-03-27,9.5,8.9,9.4,8.9,1.83,330183.0
2018-03-28,9.2,8.6,8.9,9.2,1.892,363820.0
2018-03-29,9.1,8.6,9.1,8.8,1.81,459900.0
2018-03-30,8.8,8.4,8.8,8.4,1.728,336723.0
2018-04-02,8.7,8.1,8.4,8.5,1.748,210765.0
2018-04-03,8.5,7.8,8.5,7.9,1.625,598780.0
2018-04-04,8.6,7.9,8.0,8.1,1.666,338692.0
2018-04-05,8.3,7.9,8.2,8.0,1.645,454800.0
2018-04-06,8.1,7.9,8.1,8.0,1.645,544747.0
2018-04-09,8.4,7.8,8.0,8.1,1.666,327570.0
2018-04-10,8.3,8.0,8.1,8.2,1.686,192950.0
2018-04-11,8.2,8.0,8.2,8.0,1.645,210100.0
2018-04-12,8.0,7.8,8.0,7.9,1.625,112813.0
2018-04-13,8.0,7.7,7.9,7.8,1.604,197410.0
2018-04-16,7.9,7.5,7.8,7.5,1.543,425331.0
2018-04-17,7.6,7.3,7.6,7.5,1.543,214200.0
2018-04-18,7.6,7.1,7.6,7.1,1.46,401041.0
2018-04-19,7.2,6.8,6.9,6.9,1.419,401709.0
2018-04-20,7.5,7.0,7.0,7.5,1.543,283240.0
2018-04-23,8.1,7.5,7.6,7.5,1.543,790800.0
2018-04-24,7.5,7.2,7.5,7.3,1.501,445754.0
2018-04-26,7.3,6.9,7.2,6.9,1.419,209613.0
2018-04-27,7.2,6.8,6.9,7.0,1.44,161306.0
2018-05-02,7.2,6.9,7.1,7.1,1.46,222200.0
2018-05-03,7.2,6.8,7.1,7.2,1.481,103200.0
2018-05-04,7.3,7.0,7.1,7.0,1.44,116000.0
2018-05-07,7.2,7.0,7.0,7.2,1.481,97700.0
2018-05-08,7.3,7.1,7.2,7.2,1.481,268200.0
2018-05-09,7.9,7.3,7.3,7.8,1.604,439150.0
2018-05-10,8.0,7.4,8.0,7.4,1.522,469678.0
2018-05-11,7.6,7.4,7.4,7.5,1.543,159160.0
2018-05-14,7.7,7.4,7.5,7.6,1.563,136550.0
2018-05-15,8.2,7.7,7.8,7.9,1.625,426657.0
2018-05-16,8.0,7.7,8.0,7.8,1.604,138844.0
2018-05-17,7.8,7.7,7.7,7.8,1.604,132800.0
2018-05-18,8.5,7.6,8.5,7.6,1.563,195650.0
2018-05-21,7.8,7.5,7.7,7.6,1.563,206100.0
2018-05-22,6.9,6.3,6.9,6.5,1.563,170298.0
2018-05-23,6.6,6.4,6.4,6.5,1.563,93600.0
2018-05-24,6.5,6.4,6.5,6.4,1.539,52285.0
2018-05-25,6.5,5.8,6.3,6.2,1.491,132317.0
2018-05-28,6.1,5.6,6.1,5.7,1.371,311041.0
2018-05-29,6.1,5.5,5.5,5.9,1.419,205810.0
2018-05-30,6.0,5.8,5.9,5.8,1.395,31486.0
2018-05-31,6.1,5.8,5.8,6.0,1.443,84335.0
2018-06-01,6.4,6.1,6.1,6.4,1.539,199170.0
2018-06-04,6.5,6.4,6.5,6.5,1.563,116610.0
2018-06-05,6.4,6.3,6.4,6.4,1.539,99835.0
2018-06-06,6.4,6.2,6.2,6.4,1.539,166990.0
2018-06-07,6.4,6.2,6.3,6.2,1.491,200600.0
2018-06-08,6.4,6.3,6.3,6.4,1.539,142898.0
2018-06-11,6.4,6.2,6.3,6.3,1.515,73730.0
2018-06-12,6.5,6.2,6.3,6.4,1.539,276951.0
2018-06-13,6.4,6.3,6.4,6.3,1.515,35025.0
2018-06-14,6.3,6.2,6.3,6.3,1.515,65004.0
2018-06-15,6.3,6.2,6.3,6.3,1.515,42620.0
2018-06-18,6.3,6.1,6.3,6.2,1.491,102800.0
2018-06-19,6.1,5.8,6.1,5.9,1.419,135955.0
2018-06-20,6.2,6.0,6.0,6.1,1.467,77894.0
2018-06-21,6.2,6.0,6.2,6.1,1.467,25100.0
2018-06-22,6.2,6.0,6.0,6.2,1.491,19100.0
2018-06-25,6.2,6.1,6.1,6.2,1.491,34800.0
2018-06-26,6.1,6.0,6.1,6.0,1.443,69800.0
2018-06-27,6.1,6.1,6.1,6.1,1.467,26850.0
2018-06-28,6.1,6.0,6.0,6.1,1.467,92100.0
2018-06-29,6.1,6.0,6.0,6.0,1.443,74800.0
2018-07-02,6.0,5.8,5.9,5.9,1.419,43700.0
2018-07-03,5.9,5.6,5.9,5.6,1.347,166800.0
2018-07-04,6.0,5.5,5.6,5.8,1.395,208500.0
2018-07-05,5.9,5.7,5.9,5.8,1.395,169649.0
2018-07-06,5.8,5.7,5.8,5.8,1.395,116719.0
2018-07-09,5.9,5.7,5.8,5.8,1.395,94200.0
2018-07-10,5.8,5.7,5.8,5.8,1.395,31336.0
2018-07-11,5.8,5.6,5.8,5.8,1.395,45700.0
2018-07-12,5.7,5.7,5.7,5.7,1.371,25000.0
2018-07-13,5.8,5.6,5.7,5.8,1.395,101988.0
2018-07-16,5.8,5.7,5.8,5.8,1.395,29000.0
2018-07-17,5.8,5.6,5.8,5.8,1.395,88740.0
2018-07-18,5.9,5.7,5.8,5.9,1.419,132300.0
2018-07-19,6.4,5.9,5.9,6.4,1.539,355500.0
2018-07-20,6.8,6.4,6.4,6.4,1.539,109300.0
2018-07-23,6.8,6.4,6.4,6.8,1.635,302420.0
2018-07-24,6.9,6.5,6.5,6.7,1.611,190300.0
2018-07-25,7.0,6.6,6.7,6.9,1.659,324300.0
2018-07-26,7.0,6.7,7.0,6.8,1.635,165000.0
2018-07-27,6.7,6.5,6.7,6.6,1.587,128660.0
2018-07-30,6.8,6.5,6.7,6.5,1.563,68453.0
2018-07-31,6.6,6.3,6.5,6.5,1.563,154435.0
2018-08-01,6.9,6.4,6.6,6.7,1.611,177045.0
2018-08-02,6.7,6.4,6.7,6.6,1.587,161113.0
2018-08-03,6.6,6.4,6.6,6.5,1.563,87119.0
2018-08-06,6.8,6.3,6.3,6.8,1.635,346625.0
2018-08-07,6.8,6.6,6.8,6.7,1.611,41011.0
2018-08-08,6.7,6.5,6.7,6.6,1.587,49499.0
2018-08-09,6.7,6.5,6.6,6.7,1.611,78040.0
2018-08-10,6.7,6.5,6.6,6.5,1.563,79400.0
2018-08-13,6.6,6.5,6.5,6.6,1.587,65720.0
2018-08-14,6.7,6.6,6.6,6.7,1.611,114320.0
2018-08-15,6.7,6.5,6.7,6.5,1.563,127740.0
2018-08-16,6.5,6.3,6.4,6.4,1.539,107660.0
2018-08-17,6.6,6.4,6.4,6.5,1.563,49988.0
2018-08-20,6.6,6.5,6.5,6.5,1.563,113195.0
2018-08-21,6.6,6.4,6.5,6.6,1.587,73070.0
2018-08-22,7.0,6.6,6.6,6.8,1.635,438600.0
2018-08-23,7.4,6.8,6.8,7.4,1.779,1013025.0
2018-08-24,8.1,7.4,7.4,7.8,1.876,441915.0
2018-08-27,7.9,7.5,7.9,7.7,1.852,283580.0
2018-08-28,7.7,7.4,7.6,7.4,1.779,415540.0
2018-08-29,7.5,7.2,7.4,7.4,1.779,308862.0
2018-08-30,7.5,7.4,7.4,7.4,1.779,121981.0
2018-08-31,7.6,7.3,7.4,7.4,1.779,157480.0
2018-09-04,7.4,7.2,7.3,7.3,1.755,160440.0
2018-09-05,7.3,7.2,7.3,7.2,1.731,212999.0
2018-09-06,7.3,7.2,7.2,7.3,1.755,134085.0
2018-09-07,7.4,7.3,7.3,7.4,1.779,144040.0
2018-09-10,7.8,7.5,7.5,7.8,1.876,351657.0
2018-09-11,8.0,7.6,8.0,7.7,1.852,129093.0
2018-09-12,8.0,7.7,7.7,7.9,1.9,126584.0
2018-09-13,8.0,7.8,7.9,7.9,1.9,209020.0
2018-09-14,8.1,7.9,7.9,8.0,1.924,111267.0
2018-09-17,8.2,8.0,8.0,8.2,1.972,248684.0
2018-09-18,8.9,8.0,8.9,8.2,1.972,189711.0
2018-09-19,8.4,8.2,8.2,8.3,1.996,57710.0
2018-09-20,8.3,8.0,8.3,8.0,1.924,172652.0
2018-09-21,8.2,7.9,8.0,8.2,1.972,198370.0
2018-09-24,8.2,8.0,8.2,8.1,1.948,63692.0
2018-09-25,8.1,7.8,8.0,7.9,1.9,265619.0
2018-09-26,8.1,7.8,8.0,8.0,1.924,115970.0
2018-09-27,8.2,8.0,8.0,8.1,1.948,143570.0
2018-09-28,8.2,8.0,8.1,8.2,1.972,192107.0
2018-10-01,8.4,8.1,8.2,8.3,1.996,174361.0
2018-10-02,8.5,8.2,8.4,8.3,1.996,204700.0
2018-10-03,8.4,8.2,8.3,8.3,1.996,146406.0
2018-10-04,8.5,8.2,8.2,8.5,2.044,161067.0
2018-10-05,8.8,8.4,8.4,8.6,2.068,252181.0
2018-10-08,8.8,8.5,8.7,8.7,2.092,209076.0
2018-10-09,8.8,7.9,7.9,8.8,2.116,174670.0
2018-10-10,8.8,8.7,8.7,8.8,2.116,152043.0
2018-10-11,8.6,8.1,8.6,8.2,1.972,625297.0
2018-10-12,8.6,8.2,8.2,8.5,2.044,177096.0
2018-10-15,8.5,8.4,8.5,8.4,2.02,141492.0
2018-10-16,8.9,8.3,8.3,8.8,2.116,133097.0
2018-10-17,9.1,8.8,8.8,9.0,2.164,110391.0
2018-10-18,9.9,8.8,8.8,9.9,2.381,685030.0
2018-10-19,10.6,9.8,10.2,10.0,2.405,169827.0
2018-10-22,10.5,9.7,10.4,10.0,2.405,191825.0
2018-10-23,9.8,9.2,9.8,9.7,2.332,241580.0
2018-10-24,9.6,9.4,9.4,9.5,2.284,164484.0
2018-10-25,9.1,8.6,8.6,9.0,2.164,135774.0
2018-10-26,9.3,8.8,9.3,8.8,2.116,61675.0
2018-10-29,9.0,8.5,8.5,8.7,2.092,176528.0
2018-10-30,8.9,8.6,8.6,8.7,2.092,157368.0
2018-10-31,9.1,8.9,8.9,9.0,2.164,94600.0
2018-11-01,9.3,9.0,9.0,9.0,2.164,51800.0
2018-11-02,9.4,9.0,9.0,9.4,2.26,72210.0
2018-11-05,9.5,9.2,9.2,9.4,2.26,131750.0
2018-11-06,9.5,9.4,9.5,9.4,2.26,117546.0
2018-11-07,9.5,9.2,9.4,9.2,2.212,181500.0
2018-11-08,9.5,9.3,9.4,9.5,2.284,64410.0
2018-11-09,9.5,9.3,9.4,9.3,2.236,32300.0
2018-11-12,9.7,9.2,9.3,9.7,2.332,121680.0
2018-11-13,9.7,9.5,9.7,9.7,2.332,92874.0
2018-11-14,9.7,9.6,9.7,9.6,2.308,39620.0
2018-11-15,9.6,9.4,9.5,9.6,2.308,49420.0
2018-11-16,9.7,9.4,9.6,9.5,2.284,99220.0
2018-11-19,9.7,9.5,9.7,9.5,2.284,21500.0
2018-11-20,9.7,9.5,9.5,9.7,2.332,45400.0
2018-11-21,9.7,9.5,9.6,9.5,2.284,37400.0
2018-11-22,9.6,9.5,9.6,9.6,2.308,107920.0
2018-11-23,9.7,9.6,9.6,9.7,2.332,43910.0
2018-11-26,9.6,9.5,9.5,9.6,2.308,28200.0
2018-11-27,9.6,9.5,9.6,9.5,2.284,41060.0
2018-11-28,9.6,9.4,9.6,9.5,2.284,14088.0
2018-11-29,9.6,9.4,9.5,9.6,2.308,16982.0
2018-11-30,9.7,9.4,9.6,9.5,2.284,92070.0
2018-12-03,9.6,9.5,9.5,9.6,2.308,34900.0
2018-12-04,9.7,9.6,9.6,9.6,2.308,32474.0
2018-12-05,9.6,9.5,9.5,9.6,2.308,115026.0
2018-12-06,9.6,9.5,9.6,9.6,2.308,24305.0
2018-12-07,9.8,9.6,9.6,9.8,2.357,105760.0
2018-12-10,10.4,9.7,9.8,10.2,2.453,62608.0
2018-12-11,10.3,10.0,10.3,10.1,2.429,9866.0
2018-12-12,10.1,9.8,10.1,10.0,2.405,81000.0
2018-12-13,9.9,9.7,9.8,9.9,2.381,43908.0
2018-12-14,9.7,9.6,9.7,9.7,2.332,30800.0
2018-12-17,9.7,9.4,9.6,9.4,2.26,41400.0
2018-12-18,9.3,9.0,9.0,9.0,2.164,40200.0
2018-12-19,9.2,9.0,9.0,9.1,2.188,25909.0
2018-12-20,9.2,9.1,9.2,9.1,2.188,9200.0
2018-12-21,9.1,9.0,9.1,9.0,2.164,15450.0
2018-12-24,9.1,9.0,9.0,9.1,2.188,13100.0
2018-12-25,9.0,8.5,9.0,9.0,2.164,24799.0
2018-12-26,9.4,9.0,9.0,9.1,2.188,7900.0
2018-12-27,9.4,9.1,9.4,9.1,2.188,1700.0
