Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,149.4,146.7,146.7,147.5,118.846,980460.0
2018-01-03,148.6,146.4,147.6,148.3,119.49,1513290.0
2018-01-04,149.2,147.3,148.0,148.9,119.974,920310.0
2018-01-05,149.3,147.8,149.0,148.9,119.974,873240.0
2018-01-08,149.1,147.7,148.9,148.5,119.652,736320.0
2018-01-09,148.8,145.0,148.6,147.5,118.846,1143400.0
2018-01-10,147.9,146.2,147.5,146.6,118.122,714190.0
2018-01-11,153.9,147.0,147.1,153.9,124.003,1699720.0
2018-01-12,155.5,152.3,153.6,155.5,125.292,1191440.0
2018-01-15,161.0,154.0,155.5,160.9,129.643,1292970.0
2018-01-16,163.5,160.5,160.9,161.5,130.127,1099830.0
2018-01-17,164.3,158.1,161.7,160.0,128.917,1155210.0
2018-01-18,163.9,157.1,157.1,163.9,132.061,1298160.0
2018-01-19,175.3,164.1,164.2,175.3,141.246,1812660.0
2018-01-22,186.5,176.3,176.8,186.5,151.131,570120.0
2018-01-25,199.5,199.5,199.5,199.5,161.667,530560.0
2018-01-26,213.4,185.7,213.4,190.0,153.968,2152820.0
2018-01-29,198.0,185.0,189.0,189.5,153.563,1897530.0
2018-01-30,195.0,183.1,189.5,195.0,158.02,1871290.0
2018-01-31,195.5,191.8,195.0,193.0,156.4,990200.0
2018-02-01,193.5,190.0,190.0,192.0,155.589,971750.0
2018-02-02,195.5,187.7,191.0,194.5,157.615,1489490.0
2018-02-05,194.0,185.0,189.0,185.0,149.916,697110.0
2018-02-06,172.1,172.1,172.1,172.1,139.464,1108080.0
2018-02-07,184.1,174.0,174.0,184.1,149.187,1148220.0
2018-02-08,190.0,180.0,184.3,184.0,149.107,437070.0
2018-02-09,185.0,172.5,177.0,185.0,149.916,741110.0
2018-02-12,196.9,186.0,186.0,196.9,159.559,1243970.0
2018-02-13,199.9,195.0,197.0,199.0,161.261,1883320.0
2018-02-21,201.9,198.8,199.2,199.0,161.261,837950.0
2018-02-22,199.0,192.1,199.0,195.0,158.02,655290.0
2018-02-23,196.2,192.7,195.0,195.0,158.02,748690.0
2018-02-26,198.0,194.6,195.2,195.1,158.102,920690.0
2018-02-27,203.7,195.2,195.2,201.0,162.882,1123280.0
2018-02-28,201.0,197.6,200.1,200.0,162.072,500780.0
2018-03-01,203.9,197.5,199.0,200.5,162.477,639280.0
2018-03-02,202.7,197.6,199.5,202.0,163.693,593610.0
2018-03-05,213.0,202.0,202.0,203.0,164.504,1197870.0
2018-03-06,209.8,203.0,204.0,209.8,170.013,686330.0
2018-03-07,211.0,206.0,209.8,207.5,168.15,459640.0
2018-03-08,211.0,205.5,207.9,209.0,169.365,703940.0
2018-03-09,212.5,209.0,209.5,209.0,169.365,692510.0
2018-03-12,211.9,209.0,209.0,209.9,170.095,544480.0
2018-03-13,210.5,201.0,209.9,206.0,166.934,931120.0
2018-03-14,208.5,203.0,207.0,206.5,167.34,1047430.0
2018-03-15,208.0,204.1,206.5,205.5,166.529,594820.0
2018-03-16,207.0,203.9,205.8,204.0,165.313,796950.0
2018-03-19,208.9,204.7,205.5,207.5,168.15,909580.0
2018-03-20,208.0,204.0,207.0,204.9,166.043,840590.0
2018-03-21,205.5,203.0,205.0,203.0,164.504,916790.0
2018-03-22,209.6,203.9,203.9,208.9,169.284,1005970.0
2018-03-23,208.4,203.0,203.0,208.4,168.879,554530.0
2018-03-26,218.0,209.0,209.0,217.9,176.577,1686310.0
2018-03-27,222.7,219.5,220.0,222.0,179.901,785100.0
2018-03-28,225.7,220.5,222.0,225.0,182.331,630320.0
2018-03-29,225.8,221.5,225.0,222.0,179.901,566610.0
2018-03-30,225.5,221.9,222.0,223.9,181.439,721770.0
2018-04-02,229.4,224.2,224.2,228.1,184.843,620070.0
2018-04-03,228.9,222.0,228.1,225.0,182.331,863160.0
2018-04-04,227.0,221.0,225.5,221.0,179.09,935260.0
2018-04-05,222.9,217.0,221.0,218.0,176.658,916470.0
2018-04-06,221.0,215.1,218.5,218.0,176.658,1138030.0
2018-04-09,221.3,215.7,220.0,218.0,176.658,1170690.0
2018-04-10,220.0,215.5,218.4,217.0,175.848,960130.0
2018-04-11,218.0,201.9,218.0,213.0,172.606,1127450.0
