Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,22.8,21.9,22.8,22.0,12.77,2700.0
2018-01-03,22.5,22.4,22.4,22.4,13.002,13953.0
2018-01-04,23.0,22.4,22.4,23.0,13.351,83500.0
2018-01-05,22.9,22.1,22.9,22.8,13.235,27600.0
2018-01-08,23.0,22.7,23.0,22.7,13.177,20900.0
2018-01-09,23.0,22.8,22.8,23.0,13.351,76310.0
2018-01-10,23.0,23.0,23.0,23.0,13.351,88600.0
2018-01-11,23.0,22.9,23.0,22.9,13.293,34823.0
2018-01-12,22.9,22.8,22.8,22.9,13.293,6400.0
2018-01-15,22.9,22.5,22.5,22.8,13.235,8500.0
2018-01-16,22.8,22.5,22.6,22.8,13.235,7700.0
2018-01-17,22.5,22.2,22.5,22.3,12.944,6100.0
2018-01-18,22.5,22.0,22.2,22.5,13.06,9100.0
2018-01-19,22.6,22.2,22.2,22.6,13.118,1800.0
2018-01-22,22.8,22.5,22.8,22.6,13.118,1310.0
2018-01-23,22.6,22.6,22.6,22.6,13.118,400.0
2018-01-24,22.7,22.5,22.7,22.6,13.118,2700.0
2018-01-25,22.8,21.9,22.6,22.8,13.235,3300.0
2018-01-26,22.6,22.5,22.6,22.5,13.06,14000.0
2018-01-29,23.5,22.7,23.0,22.9,13.293,66300.0
2018-01-30,23.0,22.5,22.9,22.9,13.293,50100.0
2018-01-31,22.9,22.7,22.9,22.9,13.293,13000.0
2018-02-01,22.6,22.5,22.5,22.6,13.118,13700.0
2018-02-02,22.9,22.6,22.6,22.9,13.293,200.0
2018-02-05,22.9,22.5,22.9,22.5,13.06,15300.0
2018-02-06,22.5,21.2,22.5,21.2,12.306,13500.0
2018-02-07,23.3,21.6,23.3,23.0,13.351,525.0
2018-02-08,22.8,22.8,22.8,22.8,13.235,100.0
2018-02-09,22.8,22.8,22.8,22.8,13.235,0.0
2018-02-12,22.8,22.7,22.7,22.8,13.235,4300.0
2018-02-13,23.0,22.0,23.0,22.9,13.293,16865.0
2018-02-21,22.9,22.6,22.9,22.9,13.293,2200.0
2018-02-22,22.9,22.9,22.9,22.9,13.293,5710.0
2018-02-23,23.0,22.7,22.7,23.0,13.351,504340.0
2018-02-26,25.3,23.0,23.0,24.2,14.047,353400.0
2018-02-27,25.2,23.1,25.2,24.4,14.163,62400.0
2018-02-28,25.0,23.5,24.0,24.0,13.931,140200.0
2018-03-01,23.8,23.5,23.5,23.5,13.641,60700.0
2018-03-02,24.2,23.5,23.5,24.2,14.047,71255.0
2018-03-05,24.2,23.8,24.2,23.9,13.873,145300.0
2018-03-06,24.5,24.0,24.0,24.1,13.989,133300.0
2018-03-07,24.1,23.6,24.0,23.6,13.699,23500.0
2018-03-08,24.2,23.5,23.7,23.5,13.641,26100.0
2018-03-09,24.1,23.5,24.1,24.0,13.931,4200.0
2018-03-12,25.3,24.4,25.3,24.4,14.163,2340.0
2018-03-13,23.9,23.9,23.9,23.9,13.873,500.0
2018-03-14,23.8,23.5,23.8,23.6,13.699,4500.0
2018-03-15,23.8,23.2,23.2,23.8,13.815,40500.0
2018-03-16,23.8,23.5,23.8,23.8,13.815,25500.0
2018-03-19,23.8,23.5,23.8,23.6,13.699,88100.0
2018-03-20,23.7,23.5,23.5,23.7,13.757,108300.0
2018-03-21,23.8,23.4,23.8,23.7,13.757,3500.0
2018-03-22,23.7,23.4,23.7,23.5,13.641,24300.0
2018-03-23,23.5,23.5,23.5,23.5,13.641,48700.0
2018-03-26,23.5,23.5,23.5,23.5,13.641,2500.0
2018-03-27,23.5,22.8,22.8,23.5,13.641,46705.0
2018-03-28,23.5,23.5,23.5,23.5,13.641,68.0
2018-03-29,23.5,23.5,23.5,23.5,13.641,0.0
2018-03-30,23.6,23.5,23.5,23.6,13.699,15200.0
2018-04-02,24.2,24.0,24.2,24.0,13.931,4800.0
2018-04-03,24.0,23.5,24.0,23.8,13.815,15200.0
2018-04-04,25.2,24.1,24.5,24.8,14.396,16700.0
2018-04-05,25.0,24.5,25.0,24.9,14.454,2300.0
2018-04-06,25.0,24.4,25.0,24.4,14.163,400.0
2018-04-09,24.4,23.5,24.4,24.3,14.105,4100.0
2018-04-10,24.3,24.3,24.3,24.3,14.105,100.0
2018-04-11,24.3,24.0,24.0,24.3,14.105,4300.0
2018-04-12,24.3,24.3,24.3,24.3,14.105,0.0
2018-04-13,23.8,23.8,23.8,23.8,13.815,11600.0
2018-04-16,24.0,24.0,24.0,24.0,13.931,100.0
2018-04-17,23.2,23.2,23.2,23.2,13.467,21200.0
2018-04-18,24.0,24.0,24.0,24.0,13.931,100.0
2018-04-19,24.0,24.0,24.0,24.0,13.931,0.0
2018-04-20,23.9,23.0,23.0,23.9,13.873,1600.0
2018-04-23,24.5,23.9,23.9,24.5,14.221,2003.0
2018-04-24,23.5,22.1,22.1,23.5,13.641,7100.0
2018-04-26,23.5,22.0,22.2,23.5,13.641,12600.0
2018-04-27,25.0,22.0,23.5,25.0,14.512,38100.0
2018-05-02,24.0,22.5,24.0,22.5,13.06,57703.0
2018-05-03,22.7,22.0,22.0,22.7,13.177,5600.0
2018-05-04,22.9,22.1,22.9,22.8,13.235,2900.0
2018-05-07,23.5,22.8,22.9,23.5,13.641,5500.0
2018-05-08,23.5,23.5,23.5,23.5,13.641,0.0
2018-05-09,23.4,22.3,22.3,23.4,13.583,200.0
2018-05-10,23.0,23.0,23.0,23.0,13.351,10000.0
2018-05-11,23.0,22.6,23.0,23.0,13.351,44000.0
2018-05-14,23.3,23.0,23.0,23.3,13.525,10100.0
