Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,38.0,36.2,38.0,36.2,18.83,212200.0
2018-01-03,36.2,35.5,36.2,36.0,18.726,193330.0
2018-01-04,36.0,35.6,36.0,36.0,18.726,259600.0
2018-01-05,36.1,35.7,35.7,36.1,18.778,202700.0
2018-01-08,36.1,35.8,36.0,36.1,18.778,237900.0
2018-01-09,36.0,35.8,35.8,35.8,18.622,97200.0
2018-01-10,36.0,35.8,35.9,35.9,18.674,132400.0
2018-01-11,36.0,35.9,35.9,36.0,18.726,92900.0
2018-01-12,36.0,35.9,35.9,36.0,18.726,123400.0
2018-01-15,36.8,36.0,36.0,36.6,19.038,125130.0
2018-01-16,36.7,36.3,36.6,36.6,19.038,69900.0
2018-01-17,37.2,36.6,36.6,36.9,19.194,182800.0
2018-01-18,37.6,36.9,36.9,37.2,19.35,87900.0
2018-01-19,37.9,37.2,37.2,37.7,19.61,193700.0
2018-01-22,37.9,37.5,37.7,37.8,19.662,138500.0
2018-01-23,37.9,37.4,37.7,37.9,19.714,78400.0
2018-01-24,38.0,37.7,37.9,38.0,19.766,73300.0
2018-01-25,38.2,37.6,37.9,38.2,19.87,119800.0
2018-01-26,38.3,37.5,38.3,38.2,19.87,80000.0
2018-01-29,38.2,37.5,38.0,37.9,19.714,145800.0
2018-01-30,37.7,36.9,37.7,37.0,19.246,157800.0
2018-01-31,37.9,36.8,37.8,37.5,19.506,96800.0
2018-02-01,37.9,37.4,37.8,37.7,19.61,78800.0
2018-02-02,37.7,37.3,37.6,37.7,19.61,134400.0
2018-02-05,37.5,36.3,37.5,37.0,19.246,59200.0
2018-02-06,36.9,34.0,34.0,35.8,18.622,73300.0
2018-02-07,36.5,35.5,35.6,36.1,18.778,143400.0
2018-02-08,37.0,35.9,37.0,36.2,18.83,127200.0
2018-02-09,36.5,35.0,35.0,36.5,18.986,141500.0
2018-02-12,37.5,36.0,36.3,37.0,19.246,169600.0
2018-02-13,37.4,35.8,37.0,37.4,19.454,172000.0
2018-02-21,37.8,37.3,37.6,37.8,19.662,203000.0
2018-02-22,37.9,37.4,37.8,37.5,19.506,209100.0
2018-02-23,37.8,37.0,37.5,37.8,19.662,204700.0
2018-02-26,38.4,37.5,37.7,38.0,19.766,226600.0
2018-02-27,38.1,37.5,37.8,38.0,19.766,233440.0
2018-02-28,38.0,37.4,37.8,38.0,19.766,174300.0
2018-03-01,37.9,37.5,37.8,37.5,19.506,180700.0
2018-03-02,37.9,37.7,37.9,37.9,19.714,208630.0
2018-03-05,38.0,37.6,37.6,37.9,19.714,155500.0
2018-03-06,38.0,37.6,37.8,37.9,19.714,117000.0
2018-03-07,38.0,37.6,37.9,37.8,19.662,144400.0
2018-03-08,37.9,37.5,37.6,37.8,19.662,137409.0
2018-03-09,37.9,37.3,37.8,37.5,19.506,123600.0
2018-03-12,37.5,37.3,37.5,37.5,19.506,100700.0
2018-03-13,37.5,37.3,37.4,37.5,19.506,89000.0
2018-03-14,37.8,37.1,37.4,37.8,19.662,82100.0
2018-03-15,38.0,37.4,37.9,37.9,19.714,82300.0
2018-03-16,37.9,37.4,37.6,37.9,19.714,119000.0
2018-03-19,37.9,37.5,37.7,37.9,19.714,152431.0
2018-03-20,37.9,37.4,37.9,37.9,19.714,101900.0
2018-03-21,37.9,37.3,37.9,37.7,19.61,84300.0
2018-03-22,37.8,37.5,37.5,37.6,19.558,96200.0
2018-03-23,37.6,37.2,37.2,37.6,19.558,96200.0
2018-03-26,37.5,37.0,37.3,37.5,19.506,82400.0
2018-03-27,38.7,37.2,37.5,38.6,20.078,175600.0
2018-03-28,39.0,38.3,38.8,38.9,20.234,126700.0
2018-03-29,40.0,38.4,40.0,39.0,20.286,176000.0
2018-03-30,39.5,38.4,38.9,39.5,20.546,136700.0
2018-04-02,40.6,39.4,39.5,40.6,21.119,200400.0
2018-04-03,40.7,39.7,40.0,40.7,21.171,137700.0
2018-04-04,41.0,40.1,40.1,40.7,21.171,123500.0
2018-04-05,40.9,40.3,40.8,40.9,21.275,127230.0
2018-04-06,42.5,40.8,40.8,42.5,22.107,172530.0
2018-04-09,42.9,42.1,42.3,42.5,22.107,151000.0
2018-04-10,42.8,41.1,42.5,42.7,22.211,198600.0
2018-04-11,42.8,41.5,42.5,41.5,21.587,195221.0
2018-04-12,42.1,41.5,42.1,41.9,21.795,230800.0
2018-04-13,42.0,41.7,41.9,42.0,21.847,139200.0
2018-04-16,42.4,41.8,42.0,42.2,21.951,154800.0
