Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,17.5,16.95,17.2,17.2,17.2,162120.0
2018-01-03,17.6,17.05,17.2,17.05,17.05,178730.0
2018-01-04,17.3,16.9,17.1,16.9,16.9,166860.0
2018-01-05,17.2,16.8,17.2,17.1,17.1,173200.0
2018-01-08,17.25,16.9,17.0,17.05,17.05,85260.0
2018-01-09,17.3,16.7,16.7,17.2,17.2,159530.0
2018-01-10,18.4,17.2,17.2,18.4,18.4,906770.0
2018-01-11,19.65,18.5,18.7,19.65,19.65,982310.0
2018-01-12,21.0,20.3,20.4,20.9,20.9,967110.0
2018-01-15,22.3,20.4,20.5,22.2,22.2,609610.0
2018-01-16,22.2,21.35,22.2,21.45,21.45,448450.0
2018-01-17,21.45,20.8,20.9,21.2,21.2,552750.0
2018-01-18,21.6,20.9,21.0,21.6,21.6,377880.0
2018-01-19,21.8,21.3,21.7,21.4,21.4,480450.0
2018-01-22,21.4,21.0,21.1,21.0,21.0,374710.0
2018-01-25,21.3,20.6,21.1,21.3,21.3,436090.0
2018-01-26,21.3,20.8,21.0,21.2,21.2,422550.0
2018-01-29,21.2,20.5,21.0,21.0,21.0,419650.0
2018-01-30,22.45,21.0,21.0,22.45,22.45,767360.0
2018-01-31,23.95,23.0,23.0,23.0,23.0,656300.0
2018-02-01,23.0,21.9,23.0,21.9,21.9,490820.0
2018-02-02,22.0,21.3,22.0,22.0,22.0,362690.0
2018-02-05,21.6,20.7,21.6,21.0,21.0,446580.0
2018-02-06,20.6,19.55,20.4,19.55,19.55,566710.0
2018-02-07,20.2,19.5,19.9,19.6,19.6,519610.0
2018-02-08,19.6,19.2,19.5,19.2,19.2,230530.0
2018-02-09,18.9,18.2,18.5,18.5,18.5,407070.0
2018-02-12,19.75,18.5,18.5,19.75,19.75,463770.0
2018-02-13,20.5,19.8,19.8,20.45,20.45,443960.0
2018-02-21,21.85,20.45,20.45,21.8,21.8,564530.0
2018-02-22,21.8,20.8,21.7,21.3,21.3,560070.0
2018-02-23,21.9,21.3,21.4,21.7,21.7,589900.0
2018-02-26,21.9,21.4,21.7,21.6,21.6,681610.0
2018-02-27,21.7,20.9,21.5,21.0,21.0,548520.0
