Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,17.2,17.0,17.2,17.2,12.916,49420.0
2018-01-03,17.3,17.0,17.1,17.0,12.766,50210.0
2018-01-04,17.2,16.8,16.9,17.1,12.841,40990.0
2018-01-05,17.2,16.7,17.1,16.9,12.69,259960.0
2018-01-08,17.0,16.65,16.65,16.8,12.615,54560.0
2018-01-09,17.1,16.65,16.85,17.1,12.841,37000.0
2018-01-10,17.1,16.65,17.0,17.0,12.766,85300.0
2018-01-11,16.9,16.75,16.8,16.8,12.615,130960.0
2018-01-12,17.2,16.85,16.85,17.1,12.841,98630.0
2018-01-15,17.0,16.6,16.9,16.7,12.54,158360.0
2018-01-16,17.0,16.7,16.7,16.9,12.69,169840.0
2018-01-17,17.1,16.7,16.7,16.9,12.69,66560.0
2018-01-18,16.9,16.8,16.9,16.9,12.69,45600.0
2018-01-19,17.15,16.65,17.15,17.0,12.766,104910.0
2018-01-22,17.0,16.8,17.0,16.9,12.69,14470.0
2018-01-25,17.1,16.85,16.95,17.1,12.841,47670.0
2018-01-26,17.1,16.8,17.0,17.1,12.841,26470.0
2018-01-29,17.15,17.1,17.1,17.15,12.878,41660.0
2018-01-30,17.15,17.0,17.15,17.1,12.841,51270.0
2018-01-31,17.0,16.8,16.9,16.95,12.728,192320.0
2018-02-01,16.95,16.8,16.9,16.9,12.69,17990.0
2018-02-02,16.9,16.8,16.8,16.85,12.653,15800.0
2018-02-05,17.0,16.75,16.75,17.0,12.766,38410.0
2018-02-06,16.7,16.5,16.6,16.7,12.54,125200.0
2018-02-07,16.9,16.5,16.5,16.9,12.69,54550.0
2018-02-08,16.95,16.7,16.9,16.9,12.69,41470.0
2018-02-09,16.9,16.7,16.9,16.8,12.615,30680.0
2018-02-12,17.1,16.85,16.85,16.9,12.69,19620.0
2018-02-13,17.1,16.9,16.9,17.1,12.841,61110.0
2018-02-21,17.3,17.2,17.2,17.2,12.916,19070.0
2018-02-22,17.3,17.15,17.3,17.15,12.878,43800.0
2018-02-23,17.35,17.2,17.2,17.35,13.028,54600.0
2018-02-26,17.5,17.2,17.5,17.2,12.916,36710.0
2018-02-27,17.3,17.2,17.2,17.3,12.991,112260.0
2018-02-28,17.4,17.2,17.4,17.4,13.066,17270.0
2018-03-01,17.45,17.3,17.4,17.4,13.066,22920.0
2018-03-02,17.4,17.3,17.3,17.4,13.066,11860.0
2018-03-05,17.6,17.4,17.5,17.4,13.066,35010.0
2018-03-06,17.6,17.4,17.5,17.5,13.141,36790.0
2018-03-07,17.5,17.45,17.5,17.5,13.141,26450.0
2018-03-08,17.6,17.35,17.4,17.45,13.103,18290.0
2018-03-09,17.6,17.45,17.5,17.45,13.103,116990.0
2018-03-12,17.8,17.55,17.55,17.8,13.366,15530.0
2018-03-13,17.8,17.5,17.8,17.5,13.141,59490.0
2018-03-14,17.9,17.65,17.8,17.9,13.441,17680.0
2018-03-15,18.0,17.5,17.5,17.8,13.366,9950.0
