Date,High,Low,Open,Close,Adj Close,Volume
2018-10-22,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-23,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-24,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-25,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-26,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-29,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-30,29.8,29.8,29.8,29.8,2.225,0.0
2018-10-31,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-01,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-02,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-05,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-06,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-07,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-08,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-09,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-12,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-13,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-14,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-15,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-16,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-19,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-20,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-21,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-22,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-23,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-26,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-27,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-28,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-29,29.8,29.8,29.8,29.8,2.225,0.0
2018-11-30,29.8,29.8,29.8,29.8,2.225,0.0
2018-12-03,29.8,29.8,29.8,29.8,2.225,0.0
2018-12-04,29.8,29.8,29.8,29.8,2.225,0.0
2018-12-05,29.8,29.8,29.8,29.8,2.225,0.0
2018-12-06,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-07,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-10,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-11,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-12,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-13,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-14,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-17,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-18,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-19,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-20,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-21,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-24,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-25,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-26,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-27,27.8,27.8,27.8,27.8,2.224,0.0
2018-12-28,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-02,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-03,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-04,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-07,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-08,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-09,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-10,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-11,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-14,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-15,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-16,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-17,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-18,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-21,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-22,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-23,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-24,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-25,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-28,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-29,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-30,27.8,27.8,27.8,27.8,2.224,0.0
2019-01-31,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-01,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-11,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-12,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-13,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-14,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-15,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-18,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-19,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-20,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-21,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-22,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-25,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-26,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-27,27.8,27.8,27.8,27.8,2.224,0.0
2019-02-28,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-01,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-04,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-05,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-06,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-07,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-08,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-11,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-12,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-13,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-14,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-15,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-18,27.8,27.8,27.8,27.8,2.224,0.0
2019-03-19,18.1,18.1,18.1,18.1,1.448,14800.0
2019-03-20,18.1,18.1,18.1,18.1,1.448,0.0
2019-03-21,18.1,18.1,18.1,18.1,1.448,0.0
2019-03-22,16.6,16.6,16.6,16.6,1.448,0.0
2019-03-25,16.6,16.6,16.6,16.6,1.448,0.0
2019-03-26,16.6,16.6,16.6,16.6,1.448,0.0
2019-03-27,16.6,16.6,16.6,16.6,1.448,0.0
2019-03-28,16.6,16.6,16.6,16.6,1.448,0.0
2019-03-29,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-01,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-02,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-03,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-04,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-05,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-08,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-09,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-10,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-11,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-12,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-16,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-17,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-18,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-19,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-22,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-23,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-24,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-25,16.6,16.6,16.6,16.6,1.448,0.0
2019-04-26,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-02,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-03,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-06,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-07,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-08,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-09,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-10,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-13,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-14,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-15,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-16,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-17,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-20,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-21,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-22,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-23,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-24,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-27,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-28,16.6,16.6,16.6,16.6,1.448,0.0
2019-05-29,10.4,10.4,10.4,10.4,1.448,0.0
2019-05-30,10.4,10.4,10.4,10.4,1.448,0.0
2019-05-31,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-03,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-04,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-05,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-06,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-07,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-10,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-11,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-12,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-13,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-14,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-17,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-18,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-19,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-20,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-21,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-24,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-25,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-26,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-27,10.4,10.4,10.4,10.4,1.448,0.0
2019-06-28,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-01,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-02,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-03,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-04,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-05,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-08,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-09,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-10,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-11,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-12,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-15,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-16,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-17,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-18,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-19,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-22,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-23,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-24,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-25,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-26,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-29,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-30,10.4,10.4,10.4,10.4,1.448,0.0
2019-07-31,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-01,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-02,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-05,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-06,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-07,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-08,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-09,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-12,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-13,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-14,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-15,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-16,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-19,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-20,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-21,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-22,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-23,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-26,10.4,10.4,10.4,10.4,1.448,0.0
2019-08-27,8.9,8.9,8.9,8.9,1.448,0.0
2019-08-28,8.9,8.9,8.9,8.9,1.448,0.0
2019-08-29,8.9,8.9,8.9,8.9,1.448,0.0
2019-08-30,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-03,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-04,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-05,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-06,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-09,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-10,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-11,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-12,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-13,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-16,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-17,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-18,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-19,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-20,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-23,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-24,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-25,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-26,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-27,8.9,8.9,8.9,8.9,1.448,0.0
2019-09-30,8.9,8.9,8.9,8.9,1.448,0.0
2019-10-01,8.9,8.9,8.9,8.9,1.448,0.0
