Date,High,Low,Open,Close,Adj Close,Volume
2021-08-16,17.6,17.6,17.6,17.6,16.588,5500.0
2021-08-17,20.2,20.2,20.2,20.2,19.039,300.0
2021-08-18,23.2,23.2,23.2,23.2,21.866,20700.0
2021-08-19,26.6,19.8,23.2,19.8,18.662,54700.0
2021-08-20,21.0,19.5,19.5,19.5,18.379,16201.0
2021-08-23,19.5,17.0,19.5,19.0,17.908,5700.0
2021-08-24,19.5,17.0,17.4,19.5,18.379,6800.0
2021-08-25,19.5,17.5,19.5,19.4,18.285,1000.0
2021-08-26,19.3,18.0,18.4,18.0,16.965,900.0
2021-08-27,18.4,18.4,18.4,18.4,17.342,200.0
2021-08-30,19.5,16.0,17.4,19.3,18.19,9100.0
2021-08-31,19.5,18.0,19.5,19.3,18.19,1000.0
2021-09-01,19.0,19.0,19.0,19.0,17.908,100.0
2021-09-06,17.3,17.0,17.3,17.3,16.305,3800.0
2021-09-07,17.5,17.3,17.5,17.3,16.305,700.0
2021-09-08,17.5,17.3,17.5,17.3,16.305,4700.0
2021-09-09,18.0,17.8,18.0,17.8,16.777,1200.0
2021-09-10,18.4,18.0,18.4,18.0,16.965,1101.0
2021-09-13,17.6,17.4,17.5,17.6,16.588,1400.0
2021-09-14,18.0,17.0,18.0,17.0,16.023,5100.0
2021-09-15,17.5,17.5,17.5,17.5,16.494,1600.0
2021-09-16,18.0,17.2,18.0,17.2,16.211,300.0
2021-09-17,17.5,17.0,17.2,17.3,16.305,18400.0
2021-09-20,17.2,17.0,17.2,17.0,16.023,3800.0
2021-09-21,17.0,17.0,17.0,17.0,16.023,0.0
2021-09-22,17.0,17.0,17.0,17.0,16.023,300.0
2021-09-23,17.0,16.8,17.0,16.8,15.834,8000.0
2021-09-24,16.8,16.4,16.8,16.4,15.457,14701.0
2021-09-27,16.5,15.9,16.5,16.0,15.08,10600.0
2021-09-28,16.0,16.0,16.0,16.0,15.08,1100.0
2021-09-29,16.0,15.8,15.8,16.0,15.08,1600.0
2021-09-30,15.9,15.9,15.9,15.9,14.986,104.0
2021-10-01,16.2,15.9,15.9,16.2,15.269,1000.0
2021-10-04,18.0,17.0,17.0,17.7,16.682,3503.0
2021-10-05,19.0,19.0,19.0,19.0,17.908,100.0
2021-10-06,18.0,17.5,17.5,18.0,16.965,2500.0
